src	idx	stem	s0_rc	s1_rc	s2_rc	s3_rc	s0_sha256	s1_sha256	s2_sha256	s3_sha256	class	diff
src/tests/31_json.HC	55	31_json	0	0	0	0	ad9574c051442509794699e02cbc53d59d8773233c5898796eb43a432ee39ac1	ad9574c051442509794699e02cbc53d59d8773233c5898796eb43a432ee39ac1	ad9574c051442509794699e02cbc53d59d8773233c5898796eb43a432ee39ac1	ad9574c051442509794699e02cbc53d59d8773233c5898796eb43a432ee39ac1	BYTE_IDENTICAL_4	all-4-byte-identical
src/tests/32_sql.HC	56	32_sql	1	1	1	1	EMPTY	EMPTY	EMPTY	EMPTY	BOTH_FAIL_4	all-fail
src/tests/33_static.HC	57	33_static	0	0	0	0	58f9202831383f291177f013d4c810d9008b04914cafcb4de1d0a53c2e2529f3	58f9202831383f291177f013d4c810d9008b04914cafcb4de1d0a53c2e2529f3	58f9202831383f291177f013d4c810d9008b04914cafcb4de1d0a53c2e2529f3	58f9202831383f291177f013d4c810d9008b04914cafcb4de1d0a53c2e2529f3	BYTE_IDENTICAL_4	all-4-byte-identical
src/tests/34_global_array.HC	58	34_global_array	0	0	0	0	2627cff82b636c49b7dd6114c8034e21727ff5fad95440b83f9653c18b8a0186	2627cff82b636c49b7dd6114c8034e21727ff5fad95440b83f9653c18b8a0186	2627cff82b636c49b7dd6114c8034e21727ff5fad95440b83f9653c18b8a0186	2627cff82b636c49b7dd6114c8034e21727ff5fad95440b83f9653c18b8a0186	BYTE_IDENTICAL_4	all-4-byte-identical
src/tests/35_io.HC	59	35_io	0	0	0	0	a0d496d30ba8efe320f0a20f1a9727d489e72973f0247c9eea6cb04f90334fb1	a0d496d30ba8efe320f0a20f1a9727d489e72973f0247c9eea6cb04f90334fb1	a0d496d30ba8efe320f0a20f1a9727d489e72973f0247c9eea6cb04f90334fb1	a0d496d30ba8efe320f0a20f1a9727d489e72973f0247c9eea6cb04f90334fb1	BYTE_IDENTICAL_4	all-4-byte-identical
src/tests/36_range_loop.HC	60	36_range_loop	0	0	0	0	80ffb72aef21b2b15ce9564f8bd0ef1927c1dcce70f631380c611b7e77e98085	80ffb72aef21b2b15ce9564f8bd0ef1927c1dcce70f631380c611b7e77e98085	80ffb72aef21b2b15ce9564f8bd0ef1927c1dcce70f631380c611b7e77e98085	80ffb72aef21b2b15ce9564f8bd0ef1927c1dcce70f631380c611b7e77e98085	BYTE_IDENTICAL_4	all-4-byte-identical
src/tests/38_sizeof.HC	61	38_sizeof	0	0	0	0	87e98dff14e30988b30cad03ccc994ffc37b906391fd487e137c4995bc6887b2	87e98dff14e30988b30cad03ccc994ffc37b906391fd487e137c4995bc6887b2	87e98dff14e30988b30cad03ccc994ffc37b906391fd487e137c4995bc6887b2	87e98dff14e30988b30cad03ccc994ffc37b906391fd487e137c4995bc6887b2	BYTE_IDENTICAL_4	all-4-byte-identical
src/tests/39_arg_count.HC	62	39_arg_count	0	0	0	0	dd8623142104517a1a4a15642fc954d428123344057cc519fb5561bc063ec68e	dd8623142104517a1a4a15642fc954d428123344057cc519fb5561bc063ec68e	dd8623142104517a1a4a15642fc954d428123344057cc519fb5561bc063ec68e	dd8623142104517a1a4a15642fc954d428123344057cc519fb5561bc063ec68e	BYTE_IDENTICAL_4	all-4-byte-identical
src/tests/39_try_catch.HC	63	39_try_catch	0	0	0	0	18843fd2ff713660b5aaacedf3ab6a5453a7a9a208ed23c05969d7cea9b29682	18843fd2ff713660b5aaacedf3ab6a5453a7a9a208ed23c05969d7cea9b29682	18843fd2ff713660b5aaacedf3ab6a5453a7a9a208ed23c05969d7cea9b29682	18843fd2ff713660b5aaacedf3ab6a5453a7a9a208ed23c05969d7cea9b29682	BYTE_IDENTICAL_4	all-4-byte-identical
src/tests/40_class_self_ref.HC	64	40_class_self_ref	0	0	0	0	7ad2287f6fda696aaece1a860dd33887cc338adf260844ce8c5212c4fedba767	7ad2287f6fda696aaece1a860dd33887cc338adf260844ce8c5212c4fedba767	7ad2287f6fda696aaece1a860dd33887cc338adf260844ce8c5212c4fedba767	7ad2287f6fda696aaece1a860dd33887cc338adf260844ce8c5212c4fedba767	BYTE_IDENTICAL_4	all-4-byte-identical
