source	stage	object_path	provenance_class	object_sha256	compiler_binary_path	compiler_binary_sha256	fnv1a64
src/holyc-lib/strings.HC	stage0	build/b02-corpus-A/19_strings.o	stage0-historical	4861dedd37a414d596857516a0193fe4ad5990701a2c36e9644718d86597a325	./build/hcc	86b6756cdfd39cc92c9a8cd031821fdbe1d9ce42274791fd402934f903092499	dee23222adbf32e5
src/holyc-lib/strings.HC	stage1	build/lexer07-corpus-4stage/s1/20_strings.o	stage1	4861dedd37a414d596857516a0193fe4ad5990701a2c36e9644718d86597a325	./build/hcc-bootstrap02	9916a3786fdadcad3962f754120c396f36a0f9d44b50291f3bbeb4dd961da2c6	dee23222adbf32e5
src/holyc-lib/strings.HC	stage2	build/lexer07-corpus-4stage/s2/20_strings.o	stage2	4861dedd37a414d596857516a0193fe4ad5990701a2c36e9644718d86597a325	./build/hcc-bootstrap03	9c1166868fae2573328af1f5c86373577a4a4b9b7464872aa2e209e3fe3c84f4	dee23222adbf32e5
src/holyc-lib/strings.HC	stage3	build/lexer07-corpus-4stage/s3/20_strings.o	stage3	4861dedd37a414d596857516a0193fe4ad5990701a2c36e9644718d86597a325	./build/hcc-bootstrap04	2aec4181f1d40a8239828a1b7a00da3782114cf6efffe6c618f471687b40b7c7	dee23222adbf32e5
src/holyc-lib/system.HC	stage0	build/lexer07-corpus-4stage/s0/21_system.o	stage0-current	581115d240e7c6365570777de6ca2d16d3c68a1b5d9879652b533ef1659d4443	./build/hcc	86b6756cdfd39cc92c9a8cd031821fdbe1d9ce42274791fd402934f903092499	34ab320d3ee005d7
src/holyc-lib/system.HC	stage1	build/lexer07-corpus-4stage/s1/21_system.o	stage1	581115d240e7c6365570777de6ca2d16d3c68a1b5d9879652b533ef1659d4443	./build/hcc-bootstrap02	9916a3786fdadcad3962f754120c396f36a0f9d44b50291f3bbeb4dd961da2c6	34ab320d3ee005d7
src/holyc-lib/system.HC	stage2	build/lexer07-corpus-4stage/s2/21_system.o	stage2	581115d240e7c6365570777de6ca2d16d3c68a1b5d9879652b533ef1659d4443	./build/hcc-bootstrap03	9c1166868fae2573328af1f5c86373577a4a4b9b7464872aa2e209e3fe3c84f4	34ab320d3ee005d7
src/holyc-lib/system.HC	stage3	build/lexer07-corpus-4stage/s3/21_system.o	stage3	581115d240e7c6365570777de6ca2d16d3c68a1b5d9879652b533ef1659d4443	./build/hcc-bootstrap04	2aec4181f1d40a8239828a1b7a00da3782114cf6efffe6c618f471687b40b7c7	34ab320d3ee005d7
src/holyc-lib/threads.HC	stage0	build/b02-corpus-A/21_threads.o	stage0-historical	38030efad11fc811f247e43453c64de680431ee22cc4cba74b0017068652c909	./build/hcc	86b6756cdfd39cc92c9a8cd031821fdbe1d9ce42274791fd402934f903092499	15fdd4834153c71f
src/holyc-lib/threads.HC	stage1	build/lexer07-corpus-4stage/s1/22_threads.o	stage1	38030efad11fc811f247e43453c64de680431ee22cc4cba74b0017068652c909	./build/hcc-bootstrap02	9916a3786fdadcad3962f754120c396f36a0f9d44b50291f3bbeb4dd961da2c6	15fdd4834153c71f
